sentence,start,end
Add 200 μl of Resuspension Solution,40.0,64.0
Add 200 μl of Lysis Solution,74.0,95.0
Invert 4 times to mix,101.0,105.0
Add 300 μl of Neutralization Solution,131.0,142.0
Invert 4 times to mix,153.0,157.0
Centrifuge at top speed for 5 minutes at room temperature,165.0,196.0
Decant cleared lysate into Spin Column,200.0,230.0
Centrifuge at top speed for 30 seconds at room temperature,243.0,253.0
Discard flowthrough,255.0,258.0
Reinsert Spin Column into Collection Tube,258.0,260.0
Add 500 μl of Washing Solution,272.0,289.0
Centrifuge at top speed for 30 seconds at room temperature,302.0,307.0
Discard flowthrough,308.0,310.0
Reinsert Spin Column into Collection Tube,310.0,312.0
Centrifuge at top speed for 30 seconds at room temperature,312.0,319.0
Transfer Spin Column to a sterile 15 ml microcentrifuge tube,323.0,330.0
Add 50 μl of Elution Solution,352.0,366.0
Centrifuge at top speed for 30 seconds at room temperature,381.0,390.0
