sentence,start,end
Add 200 μl of Resuspension Solution,19.0,45.0
Add 200 μl of Lysis Solution,55.0,70.0
Invert 4 times to mix,74.0,77.0
Add 300 μl of Neutralization Solution,96.0,108.0
Invert 4 times to mix,116.0,119.0
Centrifuge at top speed for 5 minutes at room temperature,127.0,133.0
Decant cleared lysate into Spin Column,138.0,153.0
Centrifuge at top speed for 30 seconds at room temperature,164.0,172.0
Discard flowthrough,172.0,175.0
Reinsert Spin Column into Collection Tube,175.0,177.0
Add 500 μl of Washing Solution,185.0,196.0
Centrifuge at top speed for 30 seconds at room temperature,206.0,211.0
Discard flowthrough,212.0,214.0
Reinsert Spin Column into Collection Tube,214.0,216.0
Centrifuge at top speed for 30 seconds at room temperature,224.0,229.0
Transfer Spin Column to a sterile 15 ml microcentrifuge tube,240.0,242.0
Add 50 μl of Elution Solution,252.0,267.0
Centrifuge at top speed for 30 seconds at room temperature,280.0,289.0
